"Accession_ID","Mg_blues","chr5_21392702","chr5_21405867","chr5_282011","Latitude","Longitude","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","awc","bulk_density","CaCO3","CEC","clay","CN","coarse_fragments","K","N","P","ph","sand","silt","srad_mean","ai","GRIDCODE","CLASSLIMIT"
88,4381.23768413198,"0","0","1",47.4,0.683333,11.8291664123535,8.82499980926514,37.8755378723145,557.541076660156,25.5,2.20000004768372,23.2999992370605,6.05000019073486,18.9166660308838,18.9166660308838,5.34999990463257,661,67,38,14.9270353317261,191,134,134,188,0.0810467451810837,1.35148394107819,56.8353385925293,14.530876159668,22.4017658233643,13.5959577560425,15.1497440338135,226.204864501953,1.24011218547821,36.844051361084,7.18678617477417,51.2259140014648,26.3723220825195,11783.8330078125,0.640399992465973,38,"44.8 - 48.2 mg/kg"
108,4249.45638181171,"0","0","1",48.5167,-4.06667,11.1000003814697,6.41666650772095,37.7450981140137,392.538360595703,20.7999992370605,3.79999995231628,17,7.56666660308838,15.9833335876465,16.1333332061768,6.70000028610229,1091,132,49,31.8049335479736,387,166,193,371,0.0912350118160248,1.40968084335327,38.288257598877,11.7757844924927,17.3300952911377,13.4825315475464,11.2800960540771,201.766662597656,2.7725236415863,44.490234375,6.17445659637451,22.3966979980469,60.2732086181641,11146.5830078125,1.27980005741119,31,"26.9 - 28.9 mg/kg"
139,4489.03874815149,"0","0","1",48.5167,-4.06667,11.1000003814697,6.41666650772095,37.7450981140137,392.538360595703,20.7999992370605,3.79999995231628,17,7.56666660308838,15.9833335876465,16.1333332061768,6.70000028610229,1091,132,49,31.8049335479736,387,166,193,371,0.0912350118160248,1.40968084335327,38.288257598877,11.7757844924927,17.3300952911377,13.4825315475464,11.2800960540771,201.766662597656,2.7725236415863,44.490234375,6.17445659637451,22.3966979980469,60.2732086181641,11146.5830078125,1.27980005741119,31,"26.9 - 28.9 mg/kg"
159,4812.73588566789,"0",".","1",47.35,3.93333,9.32499980926514,7.69999980926514,32.3529396057129,596.4306640625,22.7000007629395,-1.10000002384186,23.8000011444092,3.21666669845581,5.13333320617676,16.783332824707,2.13333344459534,859,81,60,10.7757472991943,235,188,213,221,0.102306298911572,1.01262748241425,25.1464767456055,11.5001211166382,24.2136363983154,13.3218364715576,25.5922241210938,143.398696899414,2.19525718688965,25.7374153137207,5.86264705657959,27.3403854370117,48.4459762573242,11838.9169921875,0.952400028705597,29,"23.2 - 25.0 mg/kg"
265,3798.74364867965,"0","1","1",44.65,-1.16667,12.9624996185303,9.55833339691162,42.2935104370117,483.411773681641,25.2000007629395,2.59999990463257,22.6000003814697,8,18.8999996185303,18.9833335876465,7.30000019073486,949,114,43,27.2301731109619,322,158,187,292,0.0714254155755043,1.13535761833191,0,5.86975383758545,11.7462406158447,15.62855052948,7.82342958450317,237.268997192383,2.04334878921509,10.124885559082,5.43571043014526,70.7523498535156,17.5014114379883,12972.3330078125,0.914699971675873,NA,""
350,5330.87050281458,"0","0","1",46.6667,4.11667,10.720832824707,9.17500019073486,35.5620155334473,621.583251953125,25.3999996185303,-0.400000005960464,25.7999992370605,16.6833324432373,6.66666650772095,18.5666656494141,3.28333330154419,774,79,47,16.0189647674561,217,152,217,174,0.103812992572784,1.23484444618225,0.782203376293182,11.0729188919067,24.9897804260254,10.5562372207642,12.934365272522,237.66960144043,1.74362909793854,36.6196212768555,6.27687788009644,31.8228454589844,43.1873741149902,12031.5830078125,0.775300025939941,36,"38.7 - 41.7 mg/kg"
351,5287.27535127083,"0","0",".",46.6667,4.11667,10.720832824707,9.17500019073486,35.5620155334473,621.583251953125,25.3999996185303,-0.400000005960464,25.7999992370605,16.6833324432373,6.66666650772095,18.5666656494141,3.28333330154419,774,79,47,16.0189647674561,217,152,217,174,0.103812992572784,1.23484444618225,0.782203376293182,11.0729188919067,24.9897804260254,10.5562372207642,12.934365272522,237.66960144043,1.74362909793854,36.6196212768555,6.27687788009644,31.8228454589844,43.1873741149902,12031.5830078125,0.775300025939941,36,"38.7 - 41.7 mg/kg"
403,6134.5235406981,"0","0","0",49.3667,16.2667,7.80416679382324,8.40833377838135,30.2458038330078,742.356384277344,23.1000003814697,-4.69999980926514,27.7999992370605,16.8500003814697,0.0166667196899652,16.8500003814697,-1.35000002384186,533,82,24,44.1012878417969,218,76,218,78,0.0836900621652603,1.44872999191284,0,10.3686933517456,12.8901376724243,14.6462278366089,16.0225124359131,180.961898803711,1.60809087753296,25.1844120025635,5.271644115448,44.2036018371582,42.9062614440918,10949.5830078125,0.620000004768372,47,"86.5 - 93.1 mg/kg"
410,5450.87404269689,"0","0","0",49.4211,16.3497,7.94166660308838,8.19999980926514,30.0366306304932,736.227600097656,22.8999996185303,-4.40000009536743,27.2999992370605,15.4166669845581,0.19999997317791,16.8999996185303,-1.14999997615814,522,80,23,44.3318901062012,213,74,213,75,0.0849984511733055,1.43715572357178,43.6279907226562,15.2467985153198,21.826000213623,10.8862571716309,16.3879547119141,189.445388793945,2.19767379760742,30.0511379241943,7.22724199295044,34.0240707397461,44.1499290466309,10954.8330078125,0.605700016021729,45,"74.8 - 80.4 mg/kg"
424,5413.65233237961,"0","0","0",49.4112,16.2815,7.39583349227905,8.24166679382324,30.0790748596191,733.808410644531,22.5,-4.90000009536743,27.3999996185303,16.3500003814697,-0.300000011920929,16.3500003814697,-1.63333332538605,560,85,26,42.7453155517578,226,82,226,85,0.0824049711227417,1.40004146099091,0,11.5314235687256,18.0525665283203,10.38245677948,16.1173229217529,205.518020629883,2.13411855697632,38.8841705322266,5.9546160697937,44.1395950317383,37.8078384399414,10930.9169921875,0.660000026226044,47,"86.5 - 93.1 mg/kg"
